cp_id,cp_county,oss_id,coord_source,final_d_km,anchor_phrase_raw,anchor_feature_name,anchor_type,gnis_name,gnis_county,anchor_quality,final_lat,final_lon,centroid_lat,centroid_lon,match_score
II_11_2331,Surry,11028,auto,501.41237955702354,mouth of the Miery Meadow Branch,the Miery Meadow Branch,mouth,Meadow Branch,Scott,,36.60731380046957,-82.98072150038786,36.9363425752497,-77.37844123638075,81.25
II_10_1265,New Kent,6528,auto,489.39184522161247,head of Meadow Branch,Meadow Branch,head,Meadow Branch,Scott,,36.60731380046957,-82.98072150038786,37.75543934005356,-77.65867564601194,100.0
II_13_4054,Surry,10793,auto,481.46407930122126,head of Coppahonk Branch,Coppahonk Branch,head,Coon Branch,Dickenson,,37.038160999800766,-82.35514570031722,36.98256488521135,-76.94512707090152,81.4814814814815
II_12_3456,Isle Of Wight,9674,auto,479.9053246483348,mouth of the Brushey Branch,the Brushey Branch,mouth,Rush Branch,Dickenson,,37.03455059980638,-82.2665300004548,36.9256910993648,-76.87743203596756,88.0
II_9_1059,Surry,10899,auto,477.4238424793448,mouth of a small Branch,a small Branch,mouth,Sally Branch,Dickenson,,37.05510469977446,-82.46098450015296,36.931600732937554,-77.09934095542675,84.61538461538461
II_13_4562,Goochland,6192,auto,465.3541902367758,head of the Fort Branch,the Fort Branch,head,Ford Branch,Scott,,36.67565180036348,-82.78599479964845,37.59327307833995,-77.67492445126987,90.9090909090909
II_12_2969,Surry,10777,auto,429.9502345836303,mouth of the Pocoson Branch,the Pocoson Branch,mouth,Poston Branch,Washington,,36.8328898001194,-81.89845739998441,37.1395206040427,-77.08368298247518,88.88888888888889
II_10_1967,New Kent,6577,auto,428.9894682189604,mouth of Gentry's Branch,Gentry's Branch,mouth,Gent Branch,Buchanan,,37.19833329955219,-82.14416669960303,37.69347302530995,-77.3356139575067,91.66666666666666
II_14_5468,Goochland,6235,auto,415.2178269456622,mouth of Stone Horse Branch,Stone Horse Branch,mouth,Store House Branch,Wise,,37.07638889974146,-82.58416669996171,37.7476533888429,-77.96956210010839,88.88888888888889
II_11_2556,Isle Of Wight,9625,auto,404.7515361043718,mouth of the Long Branch,the Long Branch,mouth,Long Branch,Grayson,,36.55327369951175,-81.44202229965123,36.8668218595412,-76.92832926562512,100.0
