cp_id,cp_county,oss_id,centroid_lat,centroid_lon,anchor_phrase_raw,anchor_type,anchor_feature_name,gnis_name,gnis_class,gnis_county,anchor_quality,anchor_lat,anchor_lon,match_score,ambiguity_flag,exclude_reason,confidence,name_sim,raw_sim,acreage,year_cp,year_oss,cp_name,oss_name,cp_raw,oss_raw,anchor_phrase,manual_bad,manual_lat,manual_lon,coord_source,final_lat,final_lon,final_d_km
II_10_1943,King William,10302,38.219154299831104,-77.70096790366591,mouth of the Piney Lick of N,mouth,the Piney Lick of N,,,,,,,,2,low_similarity,100.0,100.0,100.0,7100.0,1719,1719,Larkin Chew,Larkin Chew Of King & Queen County,"LARKIN CHEW, of K. & Q. Co.,
7100 acs, (N. L.), 1 May 1719, p. 417.
2450 acs. part on N. side of Mattapony
Riv., in St. Stephen’s Parish in K. & Q.
Co; & 4650 acs. on S, side the river,
in St. John’s Parish, in King Wm. Co;
beg. at mouth of the Piney Lick of N.
side the river; to Harry Beverléy’s
corner; on Nath. Sanders’, & Mr.
Bowker’s life. 35 Lbs., 10 Shilf.
_ JOSEPH WALKER, GENT., 162: acé,
(O. L.), York Co., in Hampton’, Par;
by br, of Capt. John West’s Creek; 11
July, 1719, p. 418. Granted Thomas
Whitehead, 6 Mar, 1653, which patent
at a General Court held at our Roya
Capito! the 29th day of April 1718 was
by sd. Walker, assignee of Mary Bass,
surrendered, &c. Consideration: Mehtioned jn an order of our Lt. Gov’r. &
Council, made on the petition of Mary
Bass, 13 Nov. 1717, &c.",7100a,mouth of the Piney Lick of N,,,,none,,,
II_11_2331,Surry,11028,36.9363425752497,-77.37844123638075,mouth of the Miery Meadow Branch,mouth,the Miery Meadow Branch,Meadow Branch,Stream,Scott,,36.60731380046957,-82.98072150038786,81.25,2,outside_county,100.0,100.0,100.0,1150.0,1722,1722,Robert Bolling,Robert Bolling Of Prince George Co.,"ROBERT BOLLING, GENT., of Pr.
Geo. Co; 1150 acs. (O. & N. L.),
Surry Co; on both sides of Nottoway
Riv; at tnouth of the Island Sw., on S.
side of sd. river; cor. of John Threewit;
to mouth of the Miery Meadow Br; by
a Goose Pond; by John Michel; 26 July
1722, p. 152. 250 acs. part, with other
Lands, granted Robert Hawthorn, who
conveyed to Col. Robt. Bolling, who
bequeathed to abovenamed Robert; 950
acs. for Imp. of 18 pers: Wm. Fidles,
Peter Johnson, Stephen Laine, James
Siles, Henry Veill, Samll. Story, John
Dawson, Mary Bird, Henry Mills, Wm.
Evens, James Clerke, Samll. Hosea,
Thomas Jones, Richd. Trewman, Edwd.
Evans, Robt. Jones, Wm. Perkins, John
Leach (or Leath.)",1150a on both sides of Nottoway River,mouth of the Miery Meadow Branch,,,,auto,36.60731380046957,-82.98072150038786,501.41237955702354
II_13_4597,Hanover,7490,37.9584726778219,-77.85578711934556,Fork of the Little River,fork,the Little River,Little River,Stream,Louisa,estimated_fork,37.84347409959247,-77.4997055995205,100.0,0,far_centroid_34km,100.0,100.0,100.0,400.0,1730,1730,John Cosby & Charles Barret,John Cosby & Charles Barret,"JOHN COSBY & CHARLES
BARRET, 400 acs. (N. L.), Hanover
Co; adj. Capt, Carr & Benjamin Brown;
in a glaid of the S. fork of the Little
River; 28 Sept, 1730, p. 510. 40 Shill.",400a adj Capt Carr & Benjamin Brown,Fork of the Little River,,,,auto,37.84347409959247,-77.4997055995205,33.81879118309372
II_13_3800,Hanover,7449,37.9501190124825,-77.8375976531149,fork of the Little River,fork,the Little River,Little River,Stream,Louisa,estimated_fork,37.84347409959247,-77.4997055995205,100.0,0,far_centroid_32km,99.33333333333334,100.0,98.7,400.0,1727,1727,Benjamin Brown,Benjamin Brown,"BENJAMIN BROWN, 400 acs. (N.
L.), Hanover Co; on both sides the S.
fork of the Little River; adj. Jeremiah
Dumas; near Rockey Branch; 16 June
1727, p. 100. 40 Shill,",400a on both sides the S Fork of Little River adj Benjamin Brown & Jeremiah Dumas,Fork of the Little River,,,,auto,37.84347409959247,-77.4997055995205,31.989961561218156
II_14_5237,Goochland,5399,37.78941844560485,-78.22233576759865,mouth of Cary's Creek,mouth,Cary's Creek,Carys Creek,Stream,Fluvanna,estimated_downstream,37.78819769967822,-78.25166950043666,95.23809523809524,0,,99.0,100.0,98.0,1400.0,1732,1732,William Chamberlayne,William Chamberlayne,"WILLIAM CHAMBERLAYNE, 1400
acs. (O, & N. L.), Goochland Co; S.
side the Rivanna Riv., or N. Br. of
James Riv; at mouth of Cary’s Cr; adj.
Mr. Cocke; 11 Apr. 1732, p. 393. 400
acs. part granted Ebenezer Adams. 5
Lbs., Money.",1400a Goochland/ S side the Rivanna Riv. or the N Br. of James Riv.,mouth of Cary's Creek,,,,auto,37.78819769967822,-78.25166950043666,2.5873752915799613
II_12_2947,Hanover,6656,37.86479076613105,-77.7173051999008,Fork of the Newfound River,fork,the Newfound River,Newfound River,Stream,Louisa,estimated_fork,37.8145859996373,-77.4997058995205,100.0,0,,98.8372093023256,100.0,97.7,400.0,1724,1724,John Stanley,John Stanley,"JOHN STANLEY, 400 acs. (N. L.),
Hanover Co; on both sides the N, fork
of the Newfound River; adj. Cicelia
Anderson; on S, side of the Ridge Road;
22 Feb. 1724, p. 139. 40 Shill.",400a on both sides the N fork of the Newfound River,Fork of the Newfound River,False,37.850159,-77.707004,manual,37.850159,-77.707004,1.8599147493043156
II_12_3288,Hanover,7419,37.87637619965195,-77.8664883989124,fork of Cubb Creek,fork,Cubb Creek,Cub Creek,Stream,Louisa,estimated_fork,37.86486479955926,-77.8747170999801,94.73684210526316,0,,98.8095238095238,100.0,97.6,400.0,1725,1725,Thomas Harris,Thomas Harris,"THOMAS HARRIS, 400 acs. (N.
L.), Hanover Co; on both sides of
Harris’ fork of Cubb Creek; adj. William Harris; & Dabney’s line; 24 Mar.
1725, p. 359. 40 Shill,",400a on both sides Harris's Fork of Cubb Creek,Fork of Cubb Creek,,,,auto,37.86486479955926,-77.8747170999801,1.468572951479394
II_12_3237,Henrico,5377,37.73827037702635,-78.20573944064861,Fork of James River,fork,James River,James River,Stream,Nelson,estimated_fork,37.38181500030902,-77.37470329971455,100.0,0,far_centroid_83km,98.75,100.0,97.5,5000.0,1725,1725,Dudley Digges,Dudley Digges Of Gloucester County Gent.,"DUDLEY DIGGES, GENT., of
Gloucester Co., 5000 acs. (N. L.),
Henrico Co; in the main fork of James
River; beg. in the poynt of the fork of
sd river which makes the Fluvanna &
Rivanna (Rivers); 26 Oct. 1725, p.
329. 25 Lbs, Money.",5000a Henrico/ in the Main Fork of James River,Fork of James River,,,,auto,37.38181500030902,-77.37470329971455,83.4053430477212
II_13_3990,Hanover,6731,37.87007069890375,-77.71267317515643,Fork of Licking Hole Creek,fork,Licking Hole Creek,Lickinghole Creek,Stream,Hanover,estimated_fork,37.74527779974488,-77.47277779956232,97.14285714285714,0,far_centroid_25km,98.69565217391305,100.0,97.4,742.0,1727,1727,Charles Chiswell,Charles Chiswell,"CHARLES CHISWELL, Gent., of
the City of Williamsburgh; 742 acs.
(CN. L.), Hanover Co; adj. lines of
Thomas Hart, John Rice, Philip Higginson, Cicilia Anderson, John Stanley,
Capt. David Crawford, the Sims’ grant.
Anthony Waddey, & Walliam Rice; on
S. side the Ridge Road; on E. side a
br. of Locust Cr: & by W. fork of
Licking Hole Cr; 1 Nov. 1727, p. 214.
3 Lbs., 15 Shill.","742a adj Thomas Hart, John Rice, Philip Higginson, Cicilia Anderson John Stanley Capt David Crawford the Sims Grant Anthony Waddy",Fork of Licking Hole Creek,,,,auto,37.74527779974488,-77.47277779956232,25.2614317563615
II_12_3239,,5378,37.7788313985003,-78.18555732980506,fork of James River on the Rivanna,fork,James River on the Rivanna,,,,,,,,2,low_similarity,98.68421052631578,100.0,97.4,400.0,1725,1725,Ebenezer Adams,Ebenezer Adams Gent Of New Kent County,"EBENEZER ADAMS, GENT., of
New Kent Co; 400 acs, (N, L.), in the
fork of James River on the Rivanna;
adj. Mr. Cocke; 26 Oct. 1725, p. 330.
40 Shill.",400a in the Fork of James River on the Rivanna,Fork of James River on the Rivanna,,,,none,,,
II_14_5232,Goochland,34,37.76245558625635,-78.59139460883618,fork of James River,fork,James River,James River,Stream,Surry,estimated_fork,37.63403629991751,-77.99972199978606,100.0,0,far_centroid_54km,98.68421052631578,100.0,97.4,400.0,1732,1732,Thomas Goolsby,Thomas Goolsby,"SAME. 400 acs. (N. L.); same Co.
& date; page 390. On N. side the S.
fork of James River, alias the Fluvanna
Riv; adj. his own land. 40 Shill.",400a on the N side of James River (the Fluvanna),Fork of James River,,,,auto,37.63403629991751,-77.99972199978606,54.09184371963086
II_13_4580,Hanover,7494,37.8860558263154,-77.81581331093386,Fork of Henson's Creek,fork,Henson's Creek,Henderson Creek,Stream,Albemarle,,37.9905556004058,-78.43944440014519,88.88888888888889,2,outside_county,98.61111111111111,100.0,97.2,400.0,1730,1730,William May,William May,"WILLIAM MAY, 400 acs. (N. L.),
Hanover Co; adj, William Chamberlayne; & William Wetherford; on Wolf
Trap fork of Henson’s Creek; 28 Sept.
1730, p. 502. 40 Shill.",400a adj William Chamberlayne & William Wetherford,Fork of Henson's Creek,,,,auto,37.9905556004058,-78.43944440014519,56.03440922884022
II_12_3555,King William,10367,38.04358990500015,-77.59703694812217,Fork of the South River,fork,the South River,South River,Stream,Caroline,estimated_fork,38.03485730033702,-77.38720289969513,100.0,0,,98.48484848484848,100.0,97.0,2650.0,1726,1726,Robert Baylor,Robert Baylor Of King & Queen Co. Gent.,"SAME, 2650 acs. (N. L.); 500 acs.
part on both sides the South River, in
St. Maroaret’s Par., in King Wm. Co;
& 2150 acs. on the County Line, on
both sides the S. fork of the South Riv.,
in St. George’s Par., in Spotsyl. Co; ad}.
William Dunn; & Robert Poweil; on
E. side of Punch Br; on NE side of
the main Ridge Road; same date & page,
13 Lbs., 5 Shill.","2650a, 500a part on both sides the South Riv.",Fork of the South River,False,38.030791,-77.547949,manual,38.030791,-77.547949,4.5374672931223134
II_13_3799,Hanover,6727,37.938479680792696,-77.69917215437661,Fork of Hollowing Creek,fork,Hollowing Creek,Hollowing Creek,Stream,Louisa,estimated_fork,37.90708499949369,-77.67360020029224,100.0,0,,98.38709677419357,100.0,96.8,200.0,1727,1727,Robert Sercey (or Sezcey),Robert Sercey,"ROBERT SERCEY (or Sezcey), 200
acs. (N. L.), Hanover Co; adj. Mr.
Charles Snelson & John White; on S.
side of Snelson’s Branch; & N. fork of
Hollowing Creek; 16 June 1727, p. 100.
20 Shill.",200a adj Charles Snelson & John White,Fork of Hollowing Creek,,,,auto,37.90708499949369,-77.67360020029224,4.147060761211837
II_13_3640,Hanover,6692,37.94639597389509,-77.66630065163517,fork of Beverdam Creek,fork,Beverdam Creek,Beaverdam Creek,Stream,Hanover,estimated_fork,37.63431349991709,-77.82860670005164,96.55172413793105,0,far_centroid_37km,97.61904761904762,100.0,95.2,300.0,1725,1725,Benjamin Brown,Benjamin Brown,"BENJAMIN BROWN, 300 acs. (N.
L.), Hanover Co; on both sides of the
N. fork of Beverdam Creek; on Mr.
Alexander Cocke's line; 24 Mar. 1725,
p. 4.",300a in Hanover on both sides the N fork of Beverdam Creek,Fork of Beverdam Creek,,,,auto,37.63431349991709,-77.82860670005164,37.4730353625833
II_13_4370,Hanover,7485,37.8500898314806,-77.88976165127872,mouth of Deep Creek,mouth,Deep Creek,Deep Creek,Stream,Goochland,exact,37.86764259955493,-77.9074956999292,100.0,0,,97.59358288770052,100.0,95.2,1987.0,1729,1729,Peter King,Peter King,"PETER KING, 1987 acs. (N. L.),
Hanover Co; on both sides the Southanna (Riv.); adj, lines of Mr. John
White; Anderson & Finney; John Clark,
Andrew Hunter, & Mr. William Clopton, Junr; at mouth of Deep Cr; 27
Sept. 1729, p. 411. 10 Lbs., Money.",1987a on both sides the S Anna adj John White Anderson Finney John Clark Andrew Hunter William Clopton Junr,mouth of Deep Creek,,,,auto,37.86764259955493,-77.9074956999292,2.496229574524336
II_12_3279,Hanover,7411,37.89159209285085,-77.86176797456011,fork of Cubb Creek,fork,Cubb Creek,Cub Creek,Stream,Louisa,estimated_fork,37.86486479955926,-77.8747170999801,94.73684210526316,0,,97.5609756097561,100.0,95.1,400.0,1725,1725,John Hudson,John Hudson,"JOHN HUDSON, 400 acs, (N. L.),
Hanover Co; on both sides of Harris’
fork of Cubb Creek; adj. Thomas
Harris’ land; 24 Mar, 1725, p. 354.
40 Shill.",400a on both sides Harris's fork of Cubb Creek,Fork of Cubb Creek,,,,auto,37.86486479955926,-77.8747170999801,3.1777993944784755
II_12_3376,Henrico,6129,37.6977954238198,-78.06410192490634,head of said Creek,head,said Creek,David Creek,Stream,Buckingham,,37.50014290012536,-78.78779239960448,85.71428571428572,2,outside_county,96.21212121212122,95.5,97.0,384.0,1725,1725,Leonard Ballow & Thomas Ballow,Leonard Ballow And Thomas Ballow,"LEONARD BALLOW & THOMAS
BALLOW, 384 acs. (N. L.), Henrico
Co; on heads of Fleming’s Park Creek;
crossing the main road to Ridge between head of said Cr. & Amoses’
Branch; 24 Mar. 1725, p. 408. 40 Shill,",384a Henrico/ Heads of Fleming Park Cr.,head of said Creek,,,,auto,37.50014290012536,-78.78779239960448,67.56815543868956
II_11_2353,Hanover,7378,37.92302003939335,-77.74369303279391,Fork of Locust Creek,fork,Locust Creek,Locust Creek,Stream,Hanover,estimated_fork,37.913751699483385,-77.70443460024438,100.0,0,,96.15384615384616,100.0,92.3,400.0,1722,1722,William Pulliam,William Pulliam,"WILLIAM PULLIAM, 400 acs. (N.
L.), Hanover Co: on N. side the Little
River; 18 Feb. 1722, p. 163. 40 Shill.
(IDAVID MERIWETHER, 400 acs.
(N. L.), Hanover Co; on up. side the
Horse Pen fork of Locust Cr; 18 Feb.
1722, p. 163. 40 Shill.",400a on the S side the Little River,Fork of Locust Creek,,,,auto,37.913751699483385,-77.70443460024438,3.6020116018853727
II_14_4909,Hanover,7493,37.911637501019854,-77.87548999353513,Fork of Cubb Creek,fork,Cubb Creek,Cub Creek,Stream,Louisa,estimated_fork,37.86486479955926,-77.8747170999801,94.73684210526316,0,,96.15384615384616,100.0,92.3,200.0,1730,1730,Jeremiah Glen,Jeremiah Glen,"JEREMIAH GLEN, 200 acs. (N. L.),
Hanover Co; on both sides the S. fork
of Cubb Cr; adj. Thomas Rice; 28 Sept.
1730, p. 128. 20 Shill.",200a on both sides the S Fork of Cubb Creek adj Thomas Rice,Fork of Cubb Creek,,,,auto,37.86486479955926,-77.8747170999801,5.191951374463997
II_13_4392,Hanover,7483,37.83930372978335,-77.87093312969031,mouth of Juniper Point gut,mouth,Juniper Point gut,,,,,,,,2,low_similarity,96.08695652173913,100.0,92.2,1200.0,1729,1729,John Dandridge,John Dandridge,"JOHN DANDRIDGE, GENT., 1200
acs. (N, L.), Hanover Co; on N. side
the Southanna; adj. Richard Phillips &
Capt. George Dabney; at mouth of
Juniper Point gut; 27 Sept. 1729, p.
419. 6 Lbs., Money.",1200a on the N side the S Anna adj Richard Phillips & Capt George Dabney,mouth of Juniper Point gut,,,,none,,,
II_13_4578,,7491,37.96576598446271,-77.8816035262135,Fork of Little River,fork,Little River,Little River,Stream,Alleghany,,36.60512750047292,-81.06230630024066,100.0,2,outside_county,96.05321507760532,94.5,97.6,400.0,1730,1730,John Cosbie & Charles Barret,John Cosby & Charles Barret,"JOHN COSBIE & CHARLES
BARRET, 400 acs, (N. L.), Hanoves
CAVALIERS AND PIONEERS
Co; on both sides the S. fork of Little
River; 28 Sept. 1730, p. 501. 40 Shill.",400a on both sides the S Fork of the Little River,Fork of Little River,,,,auto,36.60512750047292,-81.06230630024066,319.90967764248194
