anchor_id,anchor_type,county,feature_name,anchor_latlong,sigma_m,anchor_lat,anchor_lon
Albemarle_seat,seat,Albemarle,Charlottesville,"38.03920701842497, -78.4835427564855",700,38.03920701842500,-78.4835427564855
Amherst_seat,seat,Amherst,Amherst,"37.58342823866442, -79.0493582273069",700,37.58342823866440,-79.0493582273069
Appomattox_seat,seat,Appomattox,Appomattox,"37.35752339718277, -78.82564411517208",700,37.35752339718280,-78.82564411517210
Augusta_seat,seat,Augusta,Staunton,"38.158186326097194, -79.06349601319633",700,38.158186326097200,-79.06349601319630
Bedford_seat,seat,Bedford,Bedford,"37.33589437724705, -79.51959807832635",700,37.33589437724710,-79.51959807832640
Botetourt_seat,seat,Botetourt,Botetourt,"37.49969440374371, -79.87717225914744",700,37.49969440374370,-79.87717225914740
Buckingham_seat,seat,Buckingham,Buckingham,"37.55440924497107, -78.55110474839346",700,37.55440924497110,-78.55110474839350
Campbell_seat,seat,Campbell,Rustburg,"37.276478818851196, -79.0974016446756",700,37.276478818851200,-79.0974016446756
Caroline_seat,seat,Caroline,Bowling Green,"38.05350368860241, -77.34807457476846",700,38.05350368860240,-77.34807457476850
Charles_City_seat,seat,Charles City,Charles City,"37.34490835878253, -77.06629851741491",700,37.34490835878250,-77.06629851741490
Charlotte_seat,seat,Charlotte,Charlotte,"37.056677883052764, -78.63911577429745",700,37.056677883052800,-78.63911577429750
Charlottesville_seat,seat,Charlottesville,Charlottesville,"38.03920701842497, -78.4835427564855",700,38.03920701842500,-78.4835427564855
Chesterfield_seat,seat,Chesterfield,Chesterfield,"37.3824025919451, -77.51070724203348",700,37.3824025919451,-77.51070724203350
Colonial_Heights_seat,seat,Colonial Heights,Colonial Heights,"37.26269429932944, -77.39845668909331",700,37.26269429932940,-77.39845668909330
Culpeper_seat,seat,Culpeper,Culpeper,"38.46983541525538, -77.99863484034617",700,38.46983541525540,-77.99863484034620
Cumberland_seat,seat,Cumberland,Cumberland,"37.49196882928934, -78.2552136731587",700,37.49196882928930,-78.2552136731587
Dinwiddie_seat,seat,Dinwiddie,Dinwiddie,"37.081477336249954, -77.58412975239692",700,37.081477336250000,-77.58412975239690
Fluvanna_seat,seat,Fluvanna,Palmyra,"37.86346908614281, -78.26177459404227",700,37.86346908614280,-78.26177459404230
Franklin_seat,seat,Franklin,Rocky Mount,"37.00303428696083, -79.88428020813977",700,37.00303428696080,-79.88428020813980
Fredericksburg_seat,seat,Fredericksburg,Fredericksburg,"38.30246342333816, -77.48659196976111",700,38.30246342333820,-77.48659196976110
Goochland_seat,seat,Goochland,Goochland,"37.697058486944286, -77.89174563638554",700,37.697058486944300,-77.89174563638550
Greene_seat,seat,Greene,Greene,"38.29605295307255, -78.43999717022102",700,38.29605295307260,-78.43999717022100
Greensville_seat,seat,Greensville,Greensville,"36.68639018211303, -77.54225156399706",700,36.68639018211300,-77.54225156399710
Hanover_seat,seat,Hanover,Hanover,"37.7664479516363, -77.37002129427533",700,37.7664479516363,-77.37002129427530
Henrico_seat,seat,Henrico,Richmond,"37.54174051958065, -77.43758044566363",700,37.54174051958070,-77.43758044566360
Hopewell_seat,seat,Hopewell,Hopewell,"37.29091607945924, -77.29500832415609",700,37.29091607945920,-77.29500832415610
Isle_Of_Wight_seat,seat,Isle Of Wight,Isle Of Wight,"36.90995722718172, -76.7035554103315",700,36.90995722718170,-76.7035554103315
Louisa_seat,seat,Louisa,Louisa,"38.02180553140985, -77.99874744736546",700,38.02180553140990,-77.99874744736550
Lynchburg_seat,seat,Lynchburg,Lynchburg,"37.39674606077084, -79.1887267605811",700,37.39674606077080,-79.1887267605811
Madison_seat,seat,Madison,Madison,"38.37979138216352, -78.25802963974897",700,38.37979138216350,-78.25802963974900
Nelson_seat,seat,Nelson,Lovingston,"37.76118406119901, -78.86899822165942",700,37.76118406119900,-78.86899822165940
New_Kent_seat,seat,New Kent,New Kent,"37.5094762834005, -76.98648131980933",700,37.5094762834005,-76.98648131980930
Orange_seat,seat,Orange,Orange,"38.248087854989244, -78.11041008403433",700,38.248087854989200,-78.11041008403430
Petersburg_seat,seat,Petersburg,Petersburg,"37.21276437310398, -77.3910539565524",700,37.21276437310400,-77.3910539565524
Pittsylvania_seat,seat,Pittsylvania,Pittsylvania,"36.82053859132155, -79.39805452146508",700,36.82053859132160,-79.39805452146510
