confidence,name_sim,raw_sim,cp_id,oss_id,acreage,year_cp,year_oss,cp_name,oss_name,cp_raw,oss_raw
100.0,100.0,100.0,II_9_323,6500,350.0,1699,1699,William Winston,William Winston,"WILLIAM WINSTON, 350 acs.,
New Kent Co; adj. Richd. Littlepage;
James Turner; & Capt. Langston; 26
Oct. 1699, p, 231. Granted Charles
Loving, 29 Mar. 1666, deserted, &
granted to William Willson, 7 Oct.
1698, & by reason of a mistake in his
surname by the writeing it Willson
instead of Winstone, the grant was
renewed by order, &c., 16 Oct. following. Trans. of 7 pers.*",350a New Kent/
100.0,100.0,100.0,II_9_524,9438,740.0,1701,1701,Thomas Reeves,Thomas Reeves,"THOMAS REEVES, 740 acs., on S.
side of the main Blackwater, in the run
of Seacock Sw; adj. George William.
son; on a br. of Torapin; 24 Oct. 1701,
p. 387. Trans. of 15 pers: Alexander
Kuning, Thomas Perkins, Anne, Rose
Mary , Sarah Martin, Mary Philips,
James Lurchin, Thomas Knowles; &:7
rights paid for to William Byrd, Esqr.,
Auditor.",740a S side main Blackwater
100.0,100.0,100.0,II_9_803,9202,609.0,1703,1703,John Poythress,John Poythress,"JOHN POYTHRESS, 609 A., 2 R,,
& 9 P., Chas. City Co; on S. side
of James River, 23 Oct. 1703, p. 571.
Beg. on S, side the Black Water; to the
Nottoway Path; to the Black Water
Spring; along the 1uaine Sw., near Capt.
Robert Lewcy’; by Townes’ Quarter; to
Hercules Flood; takeing in a point containing 50 acs; &c. Granted Francis
Poythress, 28 Sept. 1681, deserted, &
now gtanted by order, &c. Trans. of
13 pers: Robt. Lloyd, Richd, Wilkinson, Joyce Bibcell, Eliz. Smith, Eliz.
Brumfeild, Charles Bartholemew, Pattick Connoley. Note: Paid Mr. Auditor Bird’ for 6 rights.",609a Charles City/ on the Black water on the S side of James River
100.0,100.0,100.0,II_10_1317,6531,170.0,1714,1714,Roger Smith,Roger Smith,"ROGER SMITH, 170 acs. (N. £3,
New Kent Co; in a ferk of Poplar
Branch; 23 Dec. 1714, p. 227. Imp. of
4 pers: George Weldy, Jno. Banks,
Jno, Vorne (or Vorue}, Gerard Spankolp.",170a in New Kent Co
100.0,100.0,100.0,II_10_1530,4988,129.0,1716,1716,Peter Moriset,Peter Moriset,"PETER MORISET, 129 A., 1 R., 35
P., (N. L.), Henrico Co; on S, side of
James River; adj. John Lunado; 31 Oct.
1716, p. 295. Part of the lower part
of the last 5,000 acs. surveyed for the
French Refugees.",129a Henrico/
100.0,100.0,100.0,II_10_1943,10302,7100.0,1719,1719,Larkin Chew,Larkin Chew Of King & Queen County,"LARKIN CHEW, of K. & Q. Co.,
7100 acs, (N. L.), 1 May 1719, p. 417.
2450 acs. part on N. side of Mattapony
Riv., in St. Stephen’s Parish in K. & Q.
Co; & 4650 acs. on S, side the river,
in St. John’s Parish, in King Wm. Co;
beg. at mouth of the Piney Lick of N.
side the river; to Harry Beverléy’s
corner; on Nath. Sanders’, & Mr.
Bowker’s life. 35 Lbs., 10 Shilf.
_ JOSEPH WALKER, GENT., 162: acé,
(O. L.), York Co., in Hampton’, Par;
by br, of Capt. John West’s Creek; 11
July, 1719, p. 418. Granted Thomas
Whitehead, 6 Mar, 1653, which patent
at a General Court held at our Roya
Capito! the 29th day of April 1718 was
by sd. Walker, assignee of Mary Bass,
surrendered, &c. Consideration: Mehtioned jn an order of our Lt. Gov’r. &
Council, made on the petition of Mary
Bass, 13 Nov. 1717, &c.",7100a
100.0,100.0,100.0,II_11_2331,11028,1150.0,1722,1722,Robert Bolling,Robert Bolling Of Prince George Co.,"ROBERT BOLLING, GENT., of Pr.
Geo. Co; 1150 acs. (O. & N. L.),
Surry Co; on both sides of Nottoway
Riv; at tnouth of the Island Sw., on S.
side of sd. river; cor. of John Threewit;
to mouth of the Miery Meadow Br; by
a Goose Pond; by John Michel; 26 July
1722, p. 152. 250 acs. part, with other
Lands, granted Robert Hawthorn, who
conveyed to Col. Robt. Bolling, who
bequeathed to abovenamed Robert; 950
acs. for Imp. of 18 pers: Wm. Fidles,
Peter Johnson, Stephen Laine, James
Siles, Henry Veill, Samll. Story, John
Dawson, Mary Bird, Henry Mills, Wm.
Evens, James Clerke, Samll. Hosea,
Thomas Jones, Richd. Trewman, Edwd.
Evans, Robt. Jones, Wm. Perkins, John
Leach (or Leath.)",1150a on both sides of Nottoway River
100.0,100.0,100.0,II_12_2775,6676,400.0,1724,1724,John Ragland,John Ragland Of Hanover Co.,"JOHN RAGLAND, 400 acs, (N.L.),
Hanover Co; in St. Paul’s Par; on both
a Elk Cr; 9 July 1724, p. 38. 40
ill,",400a Hanover/
100.0,100.0,100.0,II_13_4326,6186,400.0,1729,1729,Ebenezer Adams _ (addams),Ebenezer Adams,"SAME, 400 acs. (N. L.); same location, date, & page. Beg. at Henry
Punals’ land, near head of a br, of the
Indian Camp, a br. of the main Byrd
(Cr.). 40 Shill,",400a -/Indian Camp Br of the Byrd
100.0,100.0,100.0,II_13_4597,7490,400.0,1730,1730,John Cosby & Charles Barret,John Cosby & Charles Barret,"JOHN COSBY & CHARLES
BARRET, 400 acs. (N. L.), Hanover
Co; adj. Capt, Carr & Benjamin Brown;
in a glaid of the S. fork of the Little
River; 28 Sept, 1730, p. 510. 40 Shill.",400a adj Capt Carr & Benjamin Brown
100.0,100.0,100.0,II_13_4601,7492,1200.0,1730,1730,William Chamberlayne,William Chamberlayne,"WILLIAM CHAMBERLAYNE,
MERCHANT, of New Kent Co; 1200
acs. (N. L.), Hanover Co; adj. John
Hudson; on a br. of Cubb Cr; 28 Sept.
1730, p. 511. 6 Lbs., Money.",1200a adj John Hudson
100.0,100.0,100.0,II_14_5048,7527,400.0,1731,1731,Richard Bullock,Richard Bullock Jr,"RICHARD BULLOCK, 400 acs. (N.
L.), Hanover Co; adj. Thomas Rice; by
a br. of Long Cr; 25 Aug. 1731, p. 226.
40 Shill.",400a adj Thomas Rice
100.0,100.0,100.0,II_14_5239,7550,400.0,1732,1732,Thomas Maples,Thomas Maples,"THOMAS MAPLES, 400 acs. (N.
L.), Hanover Co; adj. the Sims’ grant;
& Mr. Henry Graves; on a br, of Locust
Cr; 11 Apr. 1732, p. 395. 40 Shill.","400a adj Sims grant, Henry Graves"
100.0,100.0,100.0,II_14_5333,43,350.0,1732,1732,Edward Scott,Edward Scott,"SAME. 350 acs. (N. L.); same Co.,
date, & page. On N. side of the River
Fluvanna, at a place called Totser;
crossing Totier Cr., to George Nicholas’
line. 35 Shill,",350a on the N Side of the River Fluvanna
100.0,100.0,100.0,II_14_5357,7562,400.0,1732,1732,George Pemberton,George Pemberton,"GEORGE PEMBERTON, 400 acs.
(N. L.), Hanover Co; adj. Richard
Bullock, Junr; John Henson, Benjamin
Henson, Thomas Rice, & Thomas Carr..
Junr; by a br. of Long Cr; on William
Rice's line; 28 Sept. 1732, p. 478. 40
Shill.",400a adj Richard Bullock Junr. John Henson Benjamin Henson Thomas Rice Thomas Carr Junr
99.375,100.0,98.8,II_13_3958,7460,800.0,1727,1727,Stephen Pettus,Stephen Pettus,"STEPHEN PETTUS, 800 acs. (N.
L.), Hanover Co; adj. Mr. Garland;
George Woodroof: line of Cock &
Kembrow; Ambrose Joshua Smith, &
James Nuckolls; on upper side of
Horsepen Swamp; 21 Nov. 1727. p.
194. 4 Lbs., Money,","800a adj Mr Garland, George Woodroof, Cock & Kembrow Ambrose Joshua Smith & James Nuckolls"
99.33333333333334,100.0,98.7,II_13_3800,7449,400.0,1727,1727,Benjamin Brown,Benjamin Brown,"BENJAMIN BROWN, 400 acs. (N.
L.), Hanover Co; on both sides the S.
fork of the Little River; adj. Jeremiah
Dumas; near Rockey Branch; 16 June
1727, p. 100. 40 Shill,",400a on both sides the S Fork of Little River adj Benjamin Brown & Jeremiah Dumas
99.26470588235294,100.0,98.5,II_12_3093,6714,400.0,1725,1725,George Sims,George Sims,"SAME. 400 acs. (N. L.); Hanover
Co., in St. Paul’s Parish; on both sides
of the Little River, adj. Alexander
Snead; same date, & page. -40 Shill.",400a on both sides Little River adj Alexander Snead in Parish of St Paul
99.25373134328359,100.0,98.5,II_13_3803,6725,127.0,1727,1727,John Bryan,John Bryan,"JOHN BRYAN, 127 acs. (N. L.);
Hanover Co; on N. side of the Little
River; adj. Samuel Reynolds; James
Glen; James Brown; & Kimbrow’s line;
16 June 1727, p. 102. 15 Shill.",127a on the N side of the Little River adj Samuel Reynolds James Glen James Brown
99.25373134328359,100.0,98.5,II_13_4372,6748,400.0,1729,1729,Benjamin Henson,Benjamin Henson,"BENJAMIN HENSON, 400 acs, (N.
L.), Hanover Co; adj. William Saxon,
Mrs, Agnes Fox; Joseph Fox; New
Market line; & land of John Daniel;
on New Market Mill parth; 27 Sept.
1729, p. 412. 40 Shill.",400a adj William Saxon Mrs Agnes Fox Joseph Fox New Market line John Daniel
