objectid,name_std,acreage,year,raw_excerpt
1,Arthur Hopkins,,,
2,Stephen Heard,348.0,1740.0,348a Goochland County on the South fork of Hardware River
3,Joseph Terrill,317.0,,317a Brimmer rd
4,Samuel Leake,34.5,,34.5a ABCo. on the Blue Ridge & Waters of Stockton's fork of Mecham's river
5,Wm Barton,99.5,,99.5 a on both sides 3 notched rd
6,Edward Ripping Of York County,5000.0,1722.0,5000a Saint George's Parish SPCO
7,Edward Ripping,,1722.0,
8,,400.0,1722.0,400a on both sides Machunk Creek in Hanover County
9,James Skelton,1200.0,1723.0,1200a on the N Side the South Fork of James River in Henrico County
10,James Skelton,1600.0,1726.0,1600a Henrico County
11,George Hoomes Junr Of K&qco,3100.0,1727.0,3100a HNCO on the further Side the Mountains called the Chesnut Mountains Joining to a line sd to be the dividing line between HN&SP Cos.
12,,,1727.0,
13,George Nicholas Of Williamsburgh Gent.,2600.0,1729.0,2600a Goochland Co.
14,Allen Howard Gent.,400.0,1730.0,400a N side Flueanna Riv. each side Rock fish Riv. Goochland Co.
15,Thomas Carr Of Caroline County,400.0,1730.0,400a on both sides of the N ffork of James River
16,Thomas Carr Of Caroline County,400.0,1730.0,400a on both sides the Main N ffork of James River
17,Thomas Carr Of Caroline County,400.0,1730.0,400a on both sides the Main N ffork of James River
18,Thomas Carr Of Caroline County,400.0,1730.0,400a on both Sides the N ffork of James River
19,Thomas Carr Of Caroline County,400.0,1730.0,400a on both sides the N Branch of the North Fork of James River joining to Majr Carrs line in Hanover County
20,Thomas Carr Of Caroline County,400.0,1730.0,400a on both sides the N Branch of the N ffork of James River and Pully's (Pritties) Creek in Hanover Co.
21,Thomas Carr Of Caroline County,400.0,1730.0,400a on both sides of the N Branch of the North Fork
22,Nicholas Meriwether Of Hnco,,1730.0,
23,Honourable John Carter Esqr,9350.0,1730.0,9350a in the Fork of James River in Goochland County
24,,6500.0,1730.0,6500a on the Brs. of Hardwar River  Rockfish River
25,Charles Lewis,1200.0,1731.0,1200a on both sides the Rivanna in Goochland County
26,,2000.0,1731.0,2000a both sides hard War River a branch of the Fluvanna in Goochland County
27,James Coleman,133.0,1731.0,133a Louisa Co. on the W side of the Little Mountains
28,,,1731.0,
29,Thomas Carr Of Caroline Co. Gent.,400.0,1731.0,400a on the back of the Chestnut Mountains and
30,Thomas Carr Of Caroline Co. Gent.,400.0,1731.0,400a on the back of the Chesnut Mountains and Joyning
31,Thomas Carr Of Caroline Co.,400.0,1731.0,400a Hanover Co. on the back side of the Chesnut Mountains
32,Thomas Carr Of Caroline Co.,,1731.0,
33,Thomas Carr Of Caroline Co. Gent.,400.0,1731.0,400a on the back of the Chesnut Mountains
34,Thomas Goolsby,400.0,1732.0,400a on the N side of James River (the Fluvanna)
35,Thomas Goolsby,400.0,1732.0,400a on the N side the South Fork of James River
36,Thomas Goolsby,400.0,1732.0,400a on the N side the Fluvanna in Goochland County
37,,400.0,1732.0,400a on both Sides of Michunck Creek in Goochland Co.
38,John Key Of Spotsylvania Co.,400.0,1732.0,400a between The First and Second Ledges of Mountains in the County of Hanover
39,Thomas Carr Of Caroline Co. Gent.,400.0,1732.0,400a Hanover Co. on The back of Chestnut Mountains
40,Henry Runalds,400.0,1732.0,400a on the N side the Rivanna in Goochland County
41,Robert Adams,400.0,1732.0,400a on the brs. of Carrels Creek
42,Christopher Clark Of Hanover County,400.0,1732.0,400a on the Top of the Little Mountains and joyning to Majr. Carr's Line in the County afsd
